name,type,race,url,description,unique identifier,federal or state
Crossroads Grassroots Policy Strategies (GPS),501(c)(4),issue,http://www.CrossroadsGPS.org,"Works in conjunction with American Crossroads, a conservative Super PAC, which was formed in part by Karl Rove. Crossroads GPS has been running issue ads to support Missouri Republican candidates for U.S. Senate.",,
Americans for Prosperity,501(c)(4),issue,http://www.americansforprosperityfoundation.com/,"Americans for Prosperity was founded by David Koch, a GOP supporter, and its president is Tim Phillips, a Republican strategist. The groups's mission states it advocates for smaller government and low taxes. It has run issue ads aimed at incumbent U.S. Senator Claire McCaskill. Associated with Americans for Prosperity Foundation, a 501(c)(3) organization. ",,
National Republican Senatorial Committee,Party,U.S. Senate,http://www.nrsc.org/,The NRSC's focus is to support Republican candidates running for U.S. Senate.  ,,
Democratic Senatorial Campaign Committee,Party,U.S. Senate,http://www.dscc.org/,The DSCC's focus is to support Democratic candidates running for U.S. Senate.,,
Jay Nixon for Missouri,Candidate,Governor,http://jaynixon.com/,Campaign committee for Jay Nixon,,
Hensley for Congress,Candidate,Missouri 4th Congressional District,http://www.hensleyforcongress.com/,Campaign committee for Teresa Hensley,,
Steelman for U.S. Senate,Candidate,U.S. Senate,http://www.sarahsteelman.com/,Campaign committee for Sarah Steelman,,
Todd Akin for Senate,Candidate,U.S. Senate,http://www.akin.org/,Campaign committee for Todd Akin,,
Brunner for Senate,Candidate,U.S. Senate,http://johnbrunner.com/,Campaign committee for John Brunner,,
McCaskill for Missouri 2012,Candidate,U.S. Senate,http://clairemccaskill.com/,Campaign committee for Claire McCaskill,,
Friends of Peter Kinder,Candidate,Lieutenant Governor,http://peterkinder.com/,Campaign committee for Peter Kinder,,
Citizens for Brad Lager,Candidate,Lieutenant Governor,http://bradlager.com/,Campaign committee for Brad Lager,,
Friends of Bill Stouffer,Candidate,Secretary of State,http://www.billstouffer.com/,Campaign committee for Bill Stouffer,,
Schoeller for Missouri,Candidate,Secretary of State,http://www.shaneschoeller.org/,Campaign committee for Shane Schoeller,,
Citizens to Elect John Wright,Candidate,State House of Representatives for the 47th District,http://www.wright4missouri.com/,Campaign committee for John Wright,,
Spence for Governor,Candidate,Governor,http://www.spenceforgovernor.com/,Campaign committee for Dave Spence,,
Clint Zweifel for Missouri,Candidate,Treasurer,http://www.clintformissouri.com/,Campaign committee for Clint Zweifel,,
Kander for Missouri,Candidate,Secretary of State,http://www.jasonkander.com/,Campaign committee for Jason Kander,,
Missourians for Koster,Candidate,Attorney General,http://www.chriskoster.com/,Campaign committee for Chris Koster,,
"Restoring America, Inc.",527,U.S Senate,http://images.nictusa.com/cgi-bin/fecimg/?C00515072,"This committee ran-last minute ads supporting Todd Akin in the last days of the primary, according to its FEC filings.",,
U.S. Chamber of Commerce,N/A,U.S. Senate,http://www.uschamber.com/,"The U.S. Chamber of Commerce endorsed John Brunner early on in the primary race and subsequently ran ads opposing Claire McCaskill. This is an independent group, not associated with or defined as a type of PAC.",,
Missourians For Health And Education,Campaign,Issue,http://www.acscan.org/action/mo/campaigns/moballot/,Associated with the American Cancer Society. This group has purchased ad time close to the November general election in support of a ballot initiative that would increase Missouri's tobacco tax.,,
Dixon for Osage County Sheriff,N/A,Osage County Sheriff,http://michaelforsheriff.com/,"Michael Dixon Jr. does not have an official committee filed with the Missouri Ethics Commission. The candidate is paying for his campaign material himself, according to his website.",,
Susan B. Anthony List,501(c)(4),Issue,http://www.sba-list.org/,"The Susan B. Anthony List is a conservative non-profit group that supports pro-life policies and endorses Republican candidates. It is associated with a political action committee, the Susan B. Anthony List Candidate Fund.",,
Missourians for Ed Martin,Candidate,Attorney General,http://edmartinformissouri.com/,Campaign committee for Ed Martin,,
Mary Still for Senate,Candidate,State 19th Senate District,http://marystill.com/,Campaign committee for Mary Still,,
Friends of Caleb Rowden,Candidate,State 44th House District,http://calebrowden44.com/,Campaign committee for Caleb Rowden,,
